Nan: 12345678G - Data: 2023/04/30 17:57:24
Nan: 12345678B - Data: 2023/05/01 16:13:43
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:52:02
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:53:12
Bezeroa-> Nan: 12345678G - Data: 2023/05/04 09:53:34
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 11:45:38
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 11:46:28
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 11:54:58
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 11:55:53
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 11:56:39
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 11:56:56
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 11:59:34
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:00:31
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:02:17
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:03:24
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:08:38
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:09:02
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:42:33
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:44:20
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:46:10
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:53:53
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 12:55:42
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 13:01:22
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:17:13
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:18:25
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:18:38
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:19:56
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:23:49
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:24:44
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:26:36
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:27:22
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:30:04
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 13:30:13
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:19:05
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:21:21
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:23:43
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:25:29
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:27:01
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:28:38
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:30:49
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:32:03
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:32:31
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:34:58
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:38:27
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:38:59
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:44:41
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 15:45:43
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:21:49
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:24:04
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:25:35
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:27:28
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:28:47
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:30:58
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:37:19
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:43:05
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:45:16
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:46:54
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:48:56
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:49:59
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:51:18
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 16:52:36
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:10:54
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:13:18
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:16:55
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:17:49
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:19:13
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:22:15
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:23:54
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:24:50
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:29:31
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:29:51
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:45:48
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:46:53
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:48:27
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:49:12
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:51:12
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:52:26
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:54:41
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:55:40
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 17:56:39
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 18:26:49
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 18:32:57
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 18:36:50
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 18:53:17
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 18:55:33
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 18:57:27
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 18:58:13
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:00:49
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:01:20
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:01:53
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:04:00
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:05:29
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:05:53
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:11:37
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:13:24
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 19:19:25
Bezeroa-> Nan: 12345678Z - Data: 2023/05/04 19:20:11
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:30:51
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:40:06
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:42:14
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:43:03
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:43:34
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:45:16
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:45:31
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:51:59
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 19:52:55
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:56:22
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:59:05
Bezeroa-> Nan: 79439437J - Data: 2023/05/04 19:59:44
Bezeroa-> Nan: 79003399D - Data: 2023/05/04 20:04:22
Bezeroa-> Nan: 79003399D - Data: 2023/05/04 20:05:38
Bezeroa-> Nan: 79003399D - Data: 2023/05/04 20:08:43
Bezeroa-> Nan: 78950146R - Data: 2023/05/04 20:12:00
Bezeroa-> Nan: 89167975B - Data: 2023/05/04 20:13:59
